PLAYER_NAME,TEAM_ABBREVIATION,games_played,mpg,ppg,true_shooting_pct,effective_fg_pct,ast_to_tov_ratio,three_point_rate,avg_plus_minus
Darius Garland,CLE,75,30.7,20.6,59.9,56.1,2.68,45.2,6.7
Trey Murphy III,NOP,53,35.0,21.2,59.9,55.1,1.84,52.5,-7.2
Quinten Post,GSW,42,16.3,8.1,59.9,57.7,1.63,66.2,1.0
Chet Holmgren,OKC,32,27.4,15.0,59.8,55.1,1.11,33.6,9.2
Aaron Holiday,HOU,62,12.8,5.5,59.7,58.1,2.17,67.4,1.4
Caleb Houstan,ORL,58,13.6,4.1,59.7,59.1,3.0,84.8,-1.1
Grant Williams,CHA,16,29.9,10.4,59.7,55.2,1.28,59.7,0.6
Landry Shamet,NYK,50,15.2,5.7,59.7,58.7,1.25,67.4,1.8
Bradley Beal,PHX,53,32.1,17.0,59.7,56.9,1.95,38.2,-5.2
Pascal Siakam,IND,78,32.7,20.2,59.7,57.2,2.43,27.6,4.0
Desmond Bane,ORL,69,32.0,19.2,59.7,56.1,2.21,41.2,2.1
Anthony Edwards,MIN,79,36.3,27.6,59.6,54.7,1.41,50.5,3.7
Kessler Edwards,DAL,40,15.2,4.2,59.5,58.8,2.75,41.2,-4.0
Quentin Grimes,PHI,75,26.8,14.6,59.5,56.4,1.58,50.9,-3.5
Victor Wembanyama,SAS,46,33.2,24.3,59.5,56.2,1.16,47.3,2.2
Jordan Poole,WAS,68,29.4,20.5,59.4,54.5,1.5,58.7,-8.2
Eric Gordon,PHI,39,19.7,6.8,59.4,55.8,2.43,67.3,-1.8
Kyle Filipowski,UTA,72,21.1,9.6,59.4,57.6,1.36,43.1,-5.1
Jaylin Williams,OKC,47,16.7,5.9,59.4,58.5,3.71,70.2,6.4
Kyrie Irving,DAL,50,36.1,24.7,59.4,54.8,2.09,38.1,2.5
Julius Randle,MIN,69,32.3,18.7,59.3,54.4,1.68,33.8,2.4
Aaron Wiggins,OKC,76,22.9,12.0,59.2,57.8,2.0,46.9,6.8
Nikola Jović,MIA,46,25.1,10.7,59.2,55.5,2.15,56.1,-0.4
Collin Sexton,UTA,63,27.9,18.4,59.1,54.0,1.68,31.2,-4.5
Duncan Robinson,MIA,74,24.1,11.0,59.1,57.8,2.0,72.2,0.9
Jaren Jackson Jr.,MEM,74,29.8,22.2,59.1,54.9,0.95,32.3,4.5
Matisse Thybulle,POR,15,20.8,7.5,59.1,59.3,2.11,54.2,0.1
OG Anunoby,NYK,74,36.6,18.0,59.0,55.8,1.57,44.6,4.1
Jake LaRavia,SAC,66,20.4,6.9,59.0,55.9,1.85,43.1,1.9
Marcus Sasser,DET,57,14.2,6.6,59.0,55.8,2.56,51.9,0.7
Jared McCain,PHI,23,25.7,15.3,59.0,55.5,1.63,48.7,-1.2
Kawhi Leonard,LAC,37,31.9,21.5,58.9,56.3,1.63,30.4,8.0
Trayce Jackson-Davis,GSW,62,15.6,6.6,58.9,57.1,2.43,0.0,-1.0
Devin Booker,PHX,75,37.3,25.6,58.9,52.4,2.45,38.6,-2.4
Malik Beasley,DET,82,27.8,16.3,58.9,57.6,1.7,71.0,2.1
Santi Aldama,MEM,65,25.5,12.5,58.9,57.0,2.64,50.0,2.3
Anthony Davis,DAL,51,33.4,24.7,58.9,53.7,1.59,13.5,0.5
Jamison Battle,TOR,59,17.7,7.1,58.9,57.6,1.8,74.6,-3.1
Gary Trent Jr.,MIL,74,25.6,11.1,58.9,56.2,2.0,66.3,0.9
Khris Middleton,WAS,37,22.8,11.9,58.8,54.4,2.73,39.6,1.1
Luka Dončić,LAL,50,35.4,28.2,58.8,53.4,2.14,46.8,6.9
Royce O'Neale,PHX,75,24.5,9.1,58.8,57.9,2.44,77.6,-2.1
Dante Exum,DAL,20,18.6,8.7,58.8,56.7,2.55,40.3,-2.4
Jarace Walker,IND,75,15.8,6.1,58.7,58.3,1.5,52.1,-1.9
Jeremy Sochan,SAS,54,25.3,11.4,58.7,55.7,1.5,19.5,-1.6
Ajay Mitchell,OKC,36,16.6,6.5,58.7,54.9,2.25,33.3,3.5
Kenrich Williams,OKC,69,16.4,6.3,58.7,58.8,2.33,49.0,4.8
Mikal Bridges,NYK,82,37.0,17.6,58.6,56.9,2.31,38.9,4.1
Tyus Jones,PHX,81,26.8,10.2,58.6,57.1,4.82,59.5,-1.1
Scotty Pippen Jr.,MEM,79,21.3,9.9,58.5,55.3,2.59,37.3,0.6
Corey Kispert,WAS,61,26.3,11.6,58.5,55.9,1.7,58.1,-4.5
Jamal Murray,DEN,67,36.1,21.4,58.4,54.2,2.86,35.3,4.9
Haywood Highsmith,MIA,74,24.6,6.5,58.4,56.6,2.14,58.5,0.8
Jalen Smith,CHI,64,15.0,8.2,58.4,55.5,1.67,54.7,-0.6
Donte DiVincenzo,MIN,62,25.9,11.7,58.3,56.3,2.25,74.0,2.8
Ayo Dosunmu,CHI,46,30.3,12.3,58.3,55.6,3.0,41.8,-5.1
Deandre Ayton,POR,40,30.1,14.4,58.3,57.3,0.94,6.8,-4.1
Luguentz Dort,OKC,71,29.2,10.1,58.3,57.1,2.29,69.0,7.7
Jayson Tatum,BOS,72,36.4,26.8,58.3,53.9,2.07,49.8,7.4
Naji Marshall,DAL,69,27.8,13.2,58.3,54.9,1.88,31.1,-2.0
Sam Merrill,CLE,71,19.7,7.2,58.3,55.8,3.0,86.7,4.5
Bennedict Mathurin,IND,72,29.9,16.1,58.2,51.7,1.0,33.9,1.3
Isaac Okoro,CLE,55,19.1,6.1,58.1,57.1,3.0,55.1,4.6
James Harden,LAC,79,35.3,22.8,58.1,50.0,2.02,51.8,4.4
Chris Paul,SAS,82,28.0,8.8,58.0,54.2,4.63,63.4,0.0
Joel Embiid,PHI,19,30.2,23.8,58.0,48.2,1.36,24.7,-3.0
Terance Mann,ATL,67,21.1,7.7,58.0,57.3,2.57,38.7,-1.4
Antonio Reeves,NOP,44,15.0,6.9,58.0,57.1,1.29,51.8,-3.4
Caris LeVert,ATL,64,24.9,12.1,57.9,55.9,2.83,46.8,4.0
Keion Brooks Jr.,NOP,14,23.7,10.1,57.9,55.1,1.0,39.7,-10.4
Nickeil Alexander-Walker,MIN,82,25.3,9.4,57.9,55.3,2.25,60.0,3.3
Dariq Whitehead,BKN,20,12.3,5.7,57.8,59.4,0.75,77.1,-3.2
Naz Reid,MIN,80,27.5,14.2,57.8,55.7,1.64,50.4,4.3
Collin Gillespie,PHX,33,14.0,5.9,57.8,56.3,4.8,56.3,-0.9
Quenton Jackson,IND,28,13.6,5.8,57.8,53.4,3.17,31.8,0.0
Moses Moody,GSW,74,22.3,9.8,57.7,53.9,1.86,59.7,1.8
Gui Santos,GSW,56,13.6,4.1,57.7,56.3,1.75,56.3,2.9
Julian Champagnie,SAS,82,23.6,9.9,57.7,55.6,1.56,72.8,-0.8
Donovan Mitchell,CLE,71,31.4,24.0,57.6,53.0,2.38,47.8,7.4
Cam Thomas,BKN,25,31.2,24.0,57.6,51.4,1.52,42.9,-3.7
Jalen Williams,OKC,69,32.4,21.6,57.5,53.8,2.32,29.0,6.6
Jeff Dowtin Jr.,PHI,41,15.1,7.0,57.5,54.5,4.75,30.4,-2.5
John Konchar,MEM,46,12.1,2.4,57.5,57.5,3.0,65.0,1.3
Yves Missi,NOP,73,26.8,9.1,57.4,55.2,1.27,0.0,-7.0
Davion Mitchell,MIA,74,27.4,7.9,57.4,55.5,2.88,45.3,0.0
Johnny Juzang,UTA,64,19.8,8.9,57.4,55.4,1.83,66.2,-5.6
Alex Caruso,OKC,54,19.3,7.1,57.3,54.3,3.57,53.4,5.9
Keldon Johnson,SAS,77,23.9,12.7,57.2,53.5,1.6,36.0,-2.8
Lauri Markkanen,UTA,47,31.4,19.0,57.2,52.0,1.07,57.0,-4.0
Mike Conley,MIN,71,24.7,8.2,57.2,53.0,4.09,66.7,3.7
Matas Buzelis,CHI,80,18.9,8.6,57.2,55.1,1.11,47.8,-0.4
Tim Hardaway Jr.,DET,77,28.0,11.0,57.1,53.4,2.67,67.0,0.3
Jrue Holiday,BOS,62,30.6,11.1,57.1,53.8,3.25,53.3,5.5
Toumani Camara,POR,78,32.7,11.3,57.0,54.9,1.57,50.0,-1.5
Josh Giddey,CHI,70,30.2,14.6,57.0,53.1,2.48,35.1,-1.0
Kentavious Caldwell-Pope,MEM,77,29.6,8.7,57.0,54.2,2.25,60.6,0.1
Ausar Thompson,DET,59,22.5,10.1,57.0,55.1,1.64,10.3,1.1
Pat Connaughton,MIL,41,14.7,5.3,57.0,53.5,2.83,46.5,-0.3
Donovan Clingan,POR,67,19.8,6.5,57.0,56.0,1.0,14.0,0.0
Tobias Harris,DET,73,31.6,13.7,57.0,53.6,1.83,32.7,2.6
Josh Okogie,CHA,40,15.6,7.1,57.0,52.8,1.0,43.4,-0.3
Max Christie,DAL,78,27.3,9.6,56.9,52.0,1.73,52.6,-1.1
Immanuel Quickley,TOR,33,27.8,17.1,56.9,51.9,3.22,51.1,-1.2
Julian Phillips,CHI,79,14.2,4.6,56.9,52.8,1.67,52.8,0.4
DeMar DeRozan,SAC,77,35.9,22.2,56.9,50.9,3.14,19.4,1.4
Nic Claxton,BKN,70,26.9,10.3,56.8,57.4,1.83,3.7,-7.1
Day'Ron Sharpe,BKN,50,18.1,7.9,56.8,54.0,1.38,14.3,1.3
Jalen Johnson,ATL,36,35.7,18.9,56.8,53.6,1.72,25.8,1.5
Jaden Ivey,DET,30,29.9,17.6,56.7,53.3,1.33,37.0,-2.1
Trae Young,ATL,76,36.0,24.2,56.7,48.9,2.47,46.4,0.4
Bismack Biyombo,SAS,28,18.8,5.1,56.7,58.5,1.1,0.0,-3.6
Cason Wallace,OKC,68,27.6,8.4,56.6,54.9,2.78,43.1,5.4
Andrew Wiggins,MIA,60,30.7,18.0,56.6,52.9,1.53,41.4,-1.7
Tari Eason,HOU,57,24.9,12.0,56.6,54.6,1.36,32.7,2.5
Al Horford,BOS,60,27.6,9.0,56.5,55.2,2.63,67.5,6.6
Talen Horton-Tucker,CHI,58,12.5,6.5,56.5,53.0,2.0,42.0,0.3
Torrey Craig,BOS,26,12.1,4.2,56.5,55.7,2.33,71.4,-1.9
Peyton Watson,DEN,68,24.3,8.1,56.4,53.2,1.75,31.7,-0.4
Cade Cunningham,DET,70,35.0,26.1,56.4,52.2,2.07,28.8,2.5
Clint Capela,ATL,55,21.4,8.9,56.4,56.3,1.22,0.0,-1.4
Micah Potter,UTA,38,18.6,4.3,56.3,52.8,1.0,72.2,-2.7
Ja Morant,MEM,50,30.4,23.2,56.3,50.6,1.97,32.0,4.5
Jabari Smith Jr.,HOU,57,30.1,12.2,56.1,53.0,1.0,49.5,4.4
Bogdan Bogdanović,LAC,54,25.0,10.8,56.1,53.3,1.93,59.3,2.0
Tyrese Maxey,PHI,52,37.7,26.3,56.0,51.2,2.54,43.8,-2.4
Dean Wade,CLE,59,21.2,5.4,56.0,56.5,3.25,82.6,4.8
Bam Adebayo,MIA,78,34.3,18.1,56.0,51.7,2.05,19.6,0.3
Daniel Theis,NOP,38,16.3,4.3,56.0,50.0,2.29,29.4,-1.6
Brandin Podziemski,GSW,64,26.8,11.7,55.9,54.1,2.83,49.0,4.1
Justin Edwards,PHI,44,26.2,10.1,55.9,54.7,1.45,50.0,-6.4
Zaccharie Risacher,ATL,75,24.6,12.6,55.9,53.8,1.0,44.2,-1.6
Jaden McDaniels,MIN,82,31.9,12.2,55.9,53.9,1.67,36.3,2.1
Brandon Ingram,TOR,18,33.1,22.2,55.9,53.0,1.37,34.6,-7.1
De'Aaron Fox,SAS,62,36.1,23.5,55.8,51.3,2.25,32.4,-1.1
Wendell Moore Jr.,CHA,36,13.9,4.2,55.8,51.4,1.5,31.4,-3.7
Buddy Hield,GSW,82,22.7,11.1,55.8,54.7,1.45,69.8,1.7
Mo Bamba,NOP,32,12.9,4.3,55.8,52.9,1.0,48.6,-2.3
Franz Wagner,ORL,60,33.7,24.2,55.8,50.8,2.04,30.4,4.1
Jeremiah Robinson-Earl,NOP,66,18.8,6.3,55.7,52.8,1.63,47.2,-5.0
Shake Milton,LAL,57,14.7,5.5,55.7,52.2,2.57,42.2,-2.1
Jaylen Brown,BOS,63,34.3,22.2,55.7,51.4,1.73,32.2,6.4
Anfernee Simons,POR,70,32.7,19.3,55.7,51.9,2.4,52.8,-3.1
Jusuf Nurkić,CHA,51,20.8,8.9,55.6,52.2,1.21,30.4,-3.6
Jaylen Wells,MEM,79,25.9,10.4,55.6,51.7,1.89,58.1,2.4
Ronald Holland II,DET,81,15.6,6.4,55.6,51.0,1.11,37.3,-0.7
P.J. Washington,DAL,57,32.2,14.7,55.5,52.1,1.1,35.9,0.9
Ben Sheppard,IND,63,19.5,5.3,55.5,53.3,4.33,69.6,-0.9
Dillon Brooks,HOU,75,31.8,14.0,55.5,53.4,1.7,52.9,2.8
Keegan Murray,SAC,76,34.3,12.4,55.4,53.7,1.75,54.6,0.6
Julian Strawther,DEN,65,21.3,9.0,55.4,52.0,1.44,54.7,-1.1
Josh Green,CHA,68,27.8,7.4,55.4,53.2,1.6,58.1,-5.4
Klay Thompson,DAL,72,27.3,14.0,55.4,53.3,1.67,63.1,-1.1
Monte Morris,PHX,45,12.7,5.2,55.4,50.0,3.2,44.2,1.0
David Roddy,HOU,33,12.4,4.6,55.4,52.6,1.57,47.4,-2.3
Andre Jackson Jr.,MIL,67,14.6,3.4,55.3,55.2,1.33,37.9,-0.5
Devin Vassell,SAS,64,31.0,16.3,55.3,53.6,2.07,48.2,-4.1
Spencer Dinwiddie,DAL,79,27.0,11.0,55.2,50.0,3.38,47.7,-2.8
Cam Whitmore,HOU,51,16.2,9.4,55.2,52.5,1.11,45.6,0.0
Trendon Watford,BKN,44,20.7,10.2,55.2,50.6,1.37,25.0,-1.5
Malik Monk,SAC,65,31.6,17.2,55.2,51.0,2.33,45.8,1.8
Paolo Banchero,ORL,46,34.4,25.9,55.1,50.3,1.6,29.8,-0.5
Lonnie Walker IV,PHI,20,23.8,12.4,55.1,53.3,1.92,60.4,-7.1
Shaedon Sharpe,POR,72,31.3,18.5,55.1,51.6,1.33,43.1,-1.9
Pelle Larsson,MIA,55,14.2,4.6,55.0,51.4,3.0,45.9,0.2
Dalen Terry,CHI,73,13.5,4.5,54.9,50.0,1.86,37.8,-2.4
Kelly Oubre Jr.,PHI,60,34.6,15.1,54.9,51.6,1.38,32.3,-4.3
CJ McCollum,NOP,56,32.7,21.1,54.8,52.8,2.16,45.8,-5.0
Trey Lyles,SAC,69,19.6,6.5,54.8,53.7,2.0,63.0,-1.0
RJ Barrett,TOR,58,32.2,21.1,54.7,52.1,1.86,31.4,-2.4
Dyson Daniels,ATL,76,33.8,14.1,54.7,54.1,2.2,25.6,-0.9
Alperen Sengun,HOU,76,31.5,19.1,54.7,51.0,1.88,8.0,5.4
T.J. McConnell,IND,79,17.9,9.1,54.6,53.2,3.14,7.6,-0.7
Jaden Hardy,DAL,57,15.9,8.7,54.6,52.7,1.0,47.9,-1.1
A.J. Lawson,TOR,26,18.7,9.1,54.5,51.4,2.0,53.4,-0.7
Ziaire Williams,BKN,63,24.5,10.0,54.5,50.6,1.18,57.8,-5.2
Wendell Carter Jr.,ORL,68,25.9,9.1,54.5,49.3,1.82,31.9,-0.2
Bobby Portis Jr.,MIL,49,25.4,13.9,54.5,52.5,1.75,29.8,1.9
Jared Butler,PHI,60,17.4,9.0,54.5,51.3,2.85,36.8,-2.2
Malcolm Brogdon,WAS,24,23.5,12.7,54.4,46.5,2.56,23.0,-5.0
Jalen Green,HOU,82,32.9,21.0,54.4,50.6,1.36,46.3,2.0
